SMILES,delta_d,delta_p,delta_h,sol_param
C=COCCOCCOC=C,16,7.3,7.9,19.27952282
CCCCCCOCCOCCO,16,6,10,19.79898987
CCCCOCCOCCO,16,7,10.6,20.42939059
CCOCCOCCO,16.1,9.2,12.2,22.19662136
CCOCCOCCOC(C)=O,16.2,5.1,9.2,19.31553779
COCCOCCO,16.2,7.8,12.6,21.95540936
CCCOCCOCCO,16,7.2,11.3,20.86935552
NCCNCCN,16.7,13.3,14.3,25.69571949
Fc1ccccc1F,18,9,1,20.14944168
N#Cc1c(F)cccc1F,18.8,11.2,3.2,22.11605751
N#Cc1cc(F)cc(F)c1,18.8,11.2,3.2,22.11605751
CC(F)F,14.9,10.2,3,18.30437106
C=C(F)F,15,6.8,3.6,16.85823241
O=[N+]([O-])c1ccc(F)cc1F,19.4,11,3.7,22.60641502
CCCCCCOCCCCCC,16,3,2.8,16.51786911
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,17,7.6,3.6,18.96628588
C1=COCCC1,17.5,5.5,5.7,19.20911242
Oc1ccc(O)cc1,21,10.2,27.2,35.84522283
Oc1ccccc1O,20,11.3,21.8,31.66907008
CC(C)COC(=O)CCCCC(=O)OCC(C)C,16.7,2.5,6.2,17.98832955
CC(C)NC(C)C,14.8,1.7,3.5,15.30294089
C=C1CC(=O)O1,16.2,15.1,8.1,23.58092449
COCCC(C)OC,15.6,5.5,5.2,17.33926181
COC(C)OC,15.1,4.9,4.9,16.6141506
COc1cccc(OC)c1O,19.3,7.6,13.7,24.85839898
COc1ccccc1OC,19.2,4.4,9.4,21.82567296
COC1CCC(OC)O1,16.8,7.2,8.2,20.03297282
CC(=O)N(C)C,16.8,11.5,10.2,22.77125381
CC#CC,15.1,3.4,7.6,17.24325955
CNC,15.3,4.8,11.2,19.55939672
COC(=O)OC,15.5,3.9,9.7,18.69625631
COCCOC,15.4,6,6,17.58294628
CC(=O)C(C)=O,15.7,5.3,11.7,20.28472332
CN(C)CCO,16.1,9.2,15.3,24.04038269
CN(C)CCO,16.8,19.8,19.8,32.65455558
